"Time","Timestamp","cpu_usage","memory_usage","bandwidth_inbound","bandwidth_outbound","tps","tps_error","response_time","Status"
"2023-06-12 11:46:30","1686545190000","0.800%","37.1%","23.0 MB/s","18.6 MB/s","0.400 req/s","0 req/s","84.4 ms","0"
"2023-06-12 11:46:35","1686545195000","0.600%","37.1%","8.79 MB/s","6.49 MB/s","0.400 req/s","0 req/s","230 ms","0"
"2023-06-12 11:46:40","1686545200000","4.80%","37.1%","2.70 GB/s","2.30 GB/s","0.200 req/s","0 req/s","15.0 ms","0"
"2023-06-12 11:46:45","1686545205000","0.800%","37.1%","20.4 MB/s","16.5 MB/s","0.400 req/s","0 req/s","168 ms","0"
"2023-06-12 11:46:50","1686545210000","1.20%","37.1%","12.0 MB/s","9.33 MB/s","0.400 req/s","0 req/s","75.2 ms","0"
"2023-06-12 11:46:55","1686545215000","3.40%","37.1%","2.64 GB/s","2.24 GB/s","0.400 req/s","0 req/s","198 ms","0"
"2023-06-12 11:47:00","1686545220000","1.20%","37.1%","8.93 MB/s","7.07 MB/s","0.400 req/s","0 req/s","110 ms","0"
"2023-06-12 11:47:05","1686545225000","1.000%","37.1%","17.3 MB/s","13.9 MB/s","0.200 req/s","0 req/s","17.3 ms","0"
"2023-06-12 11:47:10","1686545230000","2.60%","37.1%","110 MB/s","105 MB/s","0.400 req/s","0 req/s","385 ms","0"
"2023-06-12 11:47:15","1686545235000","0.800%","37.1%","17.7 MB/s","14.2 MB/s","0.400 req/s","0 req/s","94.1 ms","0"
"2023-06-12 11:47:20","1686545240000","4.00%","37.1%","2.37 GB/s","2.02 GB/s","0.600 req/s","0 req/s","263 ms","0"
"2023-06-12 11:47:25","1686545245000","13.6%","37.1%","9.80 GB/s","8.36 GB/s","1.40 req/s","0 req/s","366 ms","0"
"2023-06-12 11:47:30","1686545250000","6.80%","37.1%","5.55 GB/s","4.72 GB/s","1.40 req/s","0 req/s","193 ms","0"
"2023-06-12 11:47:35","1686545255000","10.2%","37.1%","7.48 GB/s","6.36 GB/s","1 req/s","0 req/s","216 ms","0"
"2023-06-12 11:47:40","1686545260000","15.0%","37.9%","7.90 GB/s","6.79 GB/s","1.60 req/s","0 req/s","658 ms","0"
"2023-06-12 11:47:45","1686545265000","9.00%","37.9%","4.90 GB/s","4.17 GB/s","1.20 req/s","0 req/s","264 ms","0"
"2023-06-12 11:47:50","1686545270000","13.2%","37.9%","5.70 GB/s","4.92 GB/s","1.40 req/s","0 req/s","559 ms","0"
"2023-06-12 11:47:55","1686545275000","18.0%","37.0%","4.01 GB/s","4.27 GB/s","1.20 req/s","0 req/s","1.12 s","0"
"2023-06-12 11:48:00","1686545280000","11.8%","37.1%","7.54 GB/s","5.70 GB/s","1.40 req/s","0 req/s","451 ms","0"
"2023-06-12 11:48:05","1686545285000","14.6%","37.1%","10.00 GB/s","8.53 GB/s","1.20 req/s","0 req/s","349 ms","0"
"2023-06-12 11:48:10","1686545290000","6.00%","37.1%","2.75 GB/s","2.35 GB/s","1.20 req/s","0 req/s","359 ms","0"
"2023-06-12 11:48:15","1686545295000","11.8%","37.1%","2.82 GB/s","2.44 GB/s","1.20 req/s","0 req/s","487 ms","0"
"2023-06-12 11:48:20","1686545300000","20.4%","37.1%","8.50 GB/s","7.29 GB/s","1.40 req/s","0 req/s","714 ms","0"
"2023-06-12 11:48:25","1686545305000","13.4%","37.1%","6.57 GB/s","6.12 GB/s","1.40 req/s","0 req/s","489 ms","0"
"2023-06-12 11:48:30","1686545310000","6.20%","37.1%","3.80 GB/s","2.78 GB/s","1 req/s","0 req/s","302 ms","0"
"2023-06-12 11:48:35","1686545315000","18.2%","37.1%","6.07 GB/s","5.28 GB/s","1.60 req/s","0 req/s","883 ms","0"
"2023-06-12 11:48:40","1686545320000","13.6%","37.1%","8.15 GB/s","6.96 GB/s","1.20 req/s","0 req/s","425 ms","0"
"2023-06-12 11:48:45","1686545325000","11.8%","37.1%","2.84 GB/s","2.50 GB/s","1.40 req/s","0 req/s","627 ms","0"
"2023-06-12 11:48:50","1686545330000","10.8%","37.1%","7.07 GB/s","6.05 GB/s","0.800 req/s","0 req/s","267 ms","0"
"2023-06-12 11:48:55","1686545335000","19.2%","37.1%","3.76 GB/s","4.05 GB/s","1.80 req/s","0 req/s","995 ms","0"
"2023-06-12 11:49:00","1686545340000","11.0%","37.1%","5.07 GB/s","3.61 GB/s","1.40 req/s","0 req/s","502 ms","0"
"2023-06-12 11:49:05","1686545345000","14.4%","37.1%","5.32 GB/s","4.60 GB/s","0.800 req/s","0 req/s","539 ms","0"
"2023-06-12 11:49:10","1686545350000","24.8%","37.1%","4.34 GB/s","3.84 GB/s","1.80 req/s","0 req/s","1.31 s","0"
"2023-06-12 11:49:15","1686545355000","16.9%","37.1%","6.28 GB/s","5.79 GB/s","1.20 req/s","0 req/s","633 ms","0"
"2023-06-12 11:49:20","1686545360000","18.9%","37.1%","9.40 GB/s","7.64 GB/s","1.20 req/s","0 req/s","650 ms","0"
"2023-06-12 11:49:25","1686545365000","16.2%","37.1%","5.83 GB/s","5.02 GB/s","1.20 req/s","0 req/s","573 ms","0"
