"Time","tps","tps_error"
2023-06-12 12:01:50,1.20 req/s,0 req/s
2023-06-12 12:01:55,0.800 req/s,0 req/s
2023-06-12 12:02:00,1.20 req/s,0 req/s
2023-06-12 12:02:05,1 req/s,0 req/s
2023-06-12 12:02:10,1 req/s,0 req/s
2023-06-12 12:02:15,1.20 req/s,0 req/s
2023-06-12 12:02:20,1 req/s,0 req/s
2023-06-12 12:02:25,1 req/s,0 req/s
2023-06-12 12:02:30,1.20 req/s,0 req/s
2023-06-12 12:02:35,1 req/s,0 req/s
2023-06-12 12:02:40,1 req/s,0 req/s
2023-06-12 12:02:45,0.800 req/s,0 req/s
2023-06-12 12:02:50,1.40 req/s,0 req/s
2023-06-12 12:02:55,1 req/s,0 req/s
2023-06-12 12:03:00,1 req/s,0 req/s
2023-06-12 12:03:05,1.20 req/s,0 req/s
2023-06-12 12:03:10,1.20 req/s,0 req/s
2023-06-12 12:03:15,0.800 req/s,0 req/s
2023-06-12 12:03:20,1 req/s,0 req/s
2023-06-12 12:03:25,0.996 req/s,0 req/s
2023-06-12 12:03:30,1.20 req/s,0 req/s
2023-06-12 12:03:35,1.20 req/s,0 req/s
2023-06-12 12:03:40,0.997 req/s,0 req/s
2023-06-12 12:03:45,1.00 req/s,0 req/s
2023-06-12 12:03:50,1.20 req/s,0 req/s
2023-06-12 12:03:55,1.000 req/s,0 req/s
2023-06-12 12:04:00,1.20 req/s,0 req/s
2023-06-12 12:04:05,0.598 req/s,0 req/s
2023-06-12 12:04:10,1.40 req/s,0 req/s
2023-06-12 12:04:15,0.998 req/s,0 req/s
2023-06-12 12:04:20,1.20 req/s,0 req/s
2023-06-12 12:04:25,0.600 req/s,0 req/s
2023-06-12 12:04:30,1.40 req/s,0 req/s
2023-06-12 12:04:35,0.996 req/s,0 req/s
2023-06-12 12:04:40,1.20 req/s,0 req/s
2023-06-12 12:04:45,1.00 req/s,0 req/s
2023-06-12 12:04:50,1.20 req/s,0 req/s
2023-06-12 12:04:55,0.998 req/s,0 req/s
2023-06-12 12:05:00,1.00 req/s,0 req/s
2023-06-12 12:05:05,0.599 req/s,0 req/s
2023-06-12 12:05:10,1.60 req/s,0 req/s
2023-06-12 12:05:15,1.60 req/s,0 req/s
2023-06-12 12:05:20,2.40 req/s,0.200 req/s
2023-06-12 12:05:25,4.00 req/s,1.80 req/s
2023-06-12 12:05:30,5.00 req/s,3.20 req/s
2023-06-12 12:05:35,3.00 req/s,1.80 req/s
2023-06-12 12:05:40,4.20 req/s,3.00 req/s
2023-06-12 12:05:45,4.20 req/s,2.80 req/s
2023-06-12 12:05:50,4 req/s,3 req/s
2023-06-12 12:05:55,3.60 req/s,2.20 req/s
2023-06-12 12:06:00,3.80 req/s,2.60 req/s
2023-06-12 12:06:05,4.20 req/s,1.80 req/s
2023-06-12 12:06:10,4.20 req/s,2.20 req/s
2023-06-12 12:06:15,4 req/s,2.40 req/s
2023-06-12 12:06:20,3.00 req/s,1.40 req/s
2023-06-12 12:06:25,4.80 req/s,3.40 req/s
2023-06-12 12:06:30,3.00 req/s,1.40 req/s
2023-06-12 12:06:35,4.80 req/s,3 req/s
2023-06-12 12:06:40,4 req/s,2 req/s
2023-06-12 12:06:45,4 req/s,1.80 req/s
2023-06-12 12:06:50,3.60 req/s,1.80 req/s
2023-06-12 12:06:55,4.80 req/s,3.60 req/s
2023-06-12 12:07:00,3.60 req/s,1.60 req/s
2023-06-12 12:07:05,4 req/s,3.20 req/s
2023-06-12 12:07:10,4.60 req/s,2.20 req/s
2023-06-12 12:07:15,2.80 req/s,0.400 req/s
2023-06-12 12:07:20,4.60 req/s,3.20 req/s
2023-06-12 12:07:25,4.40 req/s,1.60 req/s
2023-06-12 12:07:30,3 req/s,1.60 req/s
2023-06-12 12:07:35,5.20 req/s,3 req/s
