"Time","bandwidth_inbound","bandwidth_outbound"
2023-05-25 18:32:45,14.6 GB/s,12.3 GB/s
2023-05-25 18:32:50,16.4 GB/s,14.1 GB/s
2023-05-25 18:32:55,23.5 GB/s,20.3 GB/s
2023-05-25 18:33:00,12.6 GB/s,11.1 GB/s
2023-05-25 18:33:05,14.4 GB/s,13.1 GB/s
2023-05-25 18:33:10,17.3 GB/s,14.0 GB/s
2023-05-25 18:33:15,19.8 GB/s,17.6 GB/s
2023-05-25 18:33:20,16.6 GB/s,13.6 GB/s
2023-05-25 18:33:25,14.6 GB/s,13.5 GB/s
2023-05-25 18:33:30,12.9 GB/s,11.2 GB/s
2023-05-25 18:33:35,18.9 GB/s,15.5 GB/s
2023-05-25 18:33:40,4.65 GB/s,4.13 GB/s
2023-05-25 18:33:45,13.2 GB/s,11.9 GB/s
2023-05-25 18:33:50,17.8 GB/s,14.9 GB/s
2023-05-25 18:33:55,18.3 GB/s,15.9 GB/s
2023-05-25 18:34:00,10.7 GB/s,8.91 GB/s
2023-05-25 18:34:05,1.33 GB/s,1.71 GB/s
2023-05-25 18:34:10,9.55 GB/s,7.61 GB/s
2023-05-25 18:34:15,1.38 GB/s,1.37 GB/s
2023-05-25 18:34:20,8.93 GB/s,7.74 GB/s
2023-05-25 18:34:25,1.17 GB/s,1.13 GB/s
2023-05-25 18:34:30,4.01 GB/s,3.62 GB/s
2023-05-25 18:34:35,7.97 GB/s,6.84 GB/s
2023-05-25 18:34:40,5.07 GB/s,4.34 GB/s
2023-05-25 18:34:45,14.8 GB/s,13.0 GB/s
2023-05-25 18:34:50,13.7 GB/s,11.7 GB/s
2023-05-25 18:34:55,6.43 GB/s,5.17 GB/s
2023-05-25 18:35:00,3.35 GB/s,2.93 GB/s
2023-05-25 18:35:05,10.6 GB/s,9.07 GB/s
2023-05-25 18:35:10,6.31 GB/s,5.44 GB/s
2023-05-25 18:35:15,5.33 GB/s,4.57 GB/s
2023-05-25 18:35:20,13.5 GB/s,11.5 GB/s
2023-05-25 18:35:25,11.0 GB/s,9.52 GB/s
2023-05-25 18:35:30,10.8 GB/s,9.10 GB/s
2023-05-25 18:35:35,3.50 GB/s,3.08 GB/s
2023-05-25 18:35:40,3.98 GB/s,3.63 GB/s
2023-05-25 18:35:45,5.97 GB/s,5.18 GB/s
2023-05-25 18:35:50,11.0 GB/s,9.53 GB/s
2023-05-25 18:35:55,6.81 GB/s,6.00 GB/s
2023-05-25 18:36:00,8.60 GB/s,7.43 GB/s
2023-05-25 18:36:05,5.86 GB/s,5.19 GB/s
2023-05-25 18:36:10,8.89 GB/s,7.63 GB/s
2023-05-25 18:36:15,9.64 GB/s,8.43 GB/s
2023-05-25 18:36:20,9.70 GB/s,8.86 GB/s
2023-05-25 18:36:25,13.1 GB/s,10.6 GB/s
2023-05-25 18:36:30,11.5 GB/s,9.88 GB/s
2023-05-25 18:36:35,13.6 GB/s,11.7 GB/s
2023-05-25 18:36:40,6.72 GB/s,5.85 GB/s
2023-05-25 18:36:45,8.81 GB/s,7.65 GB/s
2023-05-25 18:36:50,6.48 GB/s,5.56 GB/s
2023-05-25 18:36:55,8.50 GB/s,7.44 GB/s
2023-05-25 18:37:00,9.82 GB/s,8.49 GB/s
2023-05-25 18:37:05,8.95 GB/s,7.67 GB/s
2023-05-25 18:37:10,7.26 GB/s,6.94 GB/s
2023-05-25 18:37:15,9.10 GB/s,7.44 GB/s
2023-05-25 18:37:20,7.79 GB/s,7.04 GB/s
2023-05-25 18:37:25,13.4 GB/s,10.9 GB/s
2023-05-25 18:37:30,6.09 GB/s,5.26 GB/s
2023-05-25 18:37:35,11.8 GB/s,10.7 GB/s
2023-05-25 18:37:40,16.3 GB/s,14.1 GB/s
2023-05-25 18:37:45,14.7 GB/s,12.0 GB/s
