"Time","total-req-rate","ok-req-rate","error-req-rate"
2023-04-18 15:41:25,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 15:41:30,2.22 req/s,2.02 req/s,0.200 req/s
2023-04-18 15:41:35,2.49 req/s,1.93 req/s,0.564 req/s
2023-04-18 15:41:40,2.73 req/s,1.84 req/s,0.891 req/s
2023-04-18 15:41:45,2.93 req/s,1.69 req/s,1.24 req/s
2023-04-18 15:41:50,3.13 req/s,1.58 req/s,1.55 req/s
2023-04-18 15:41:55,3.44 req/s,1.53 req/s,1.91 req/s
2023-04-18 15:42:00,3.64 req/s,1.55 req/s,2.09 req/s
2023-04-18 15:42:05,3.85 req/s,1.45 req/s,2.40 req/s
2023-04-18 15:42:10,4.07 req/s,1.38 req/s,2.69 req/s
2023-04-18 15:42:15,4.36 req/s,1.31 req/s,3.05 req/s
2023-04-18 15:42:20,4.62 req/s,1.22 req/s,3.40 req/s
2023-04-18 15:42:25,4.73 req/s,1.18 req/s,3.55 req/s
2023-04-18 15:42:30,4.73 req/s,1.25 req/s,3.47 req/s
2023-04-18 15:42:35,4.55 req/s,1.31 req/s,3.24 req/s
2023-04-18 15:42:40,4.20 req/s,1.31 req/s,2.89 req/s
2023-04-18 15:42:45,3.89 req/s,1.31 req/s,2.58 req/s
2023-04-18 15:42:50,3.44 req/s,1.22 req/s,2.22 req/s
2023-04-18 15:42:55,3.18 req/s,1.15 req/s,2.04 req/s
2023-04-18 15:43:00,2.78 req/s,1.05 req/s,1.73 req/s
2023-04-18 15:43:05,2.45 req/s,1.02 req/s,1.44 req/s
2023-04-18 15:43:10,2.16 req/s,1.09 req/s,1.07 req/s
2023-04-18 15:43:15,1.80 req/s,1.07 req/s,0.727 req/s
2023-04-18 15:43:20,1.44 req/s,1.05 req/s,0.382 req/s
2023-04-18 15:43:25,1.09 req/s,1.000 req/s,0.0909 req/s
2023-04-18 15:43:30,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:43:35,0.891 req/s,0.891 req/s,0 req/s
2023-04-18 15:43:40,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:43:45,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:43:50,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:43:55,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:44:00,0.891 req/s,0.891 req/s,0 req/s
2023-04-18 15:44:05,0.855 req/s,0.855 req/s,0 req/s
2023-04-18 15:44:10,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:44:15,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:44:20,0.855 req/s,0.855 req/s,0 req/s
2023-04-18 15:44:25,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:44:30,0.855 req/s,0.855 req/s,0 req/s
2023-04-18 15:44:35,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:44:40,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:44:45,0.855 req/s,0.855 req/s,0 req/s
2023-04-18 15:44:50,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:44:55,0.836 req/s,0.836 req/s,0 req/s
2023-04-18 15:45:00,0.891 req/s,0.891 req/s,0 req/s
2023-04-18 15:45:05,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:45:10,0.855 req/s,0.855 req/s,0 req/s
2023-04-18 15:45:15,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:45:20,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:45:25,0.855 req/s,0.855 req/s,0 req/s
2023-04-18 15:45:30,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:45:35,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:45:40,0.873 req/s,0.873 req/s,0 req/s
2023-04-18 15:45:45,1.000 req/s,1.000 req/s,0 req/s
2023-04-18 15:45:50,1.15 req/s,1.15 req/s,0 req/s
2023-04-18 15:45:55,1.24 req/s,1.24 req/s,0 req/s
2023-04-18 15:46:00,1.33 req/s,1.33 req/s,0 req/s
2023-04-18 15:46:05,1.44 req/s,1.44 req/s,0 req/s
2023-04-18 15:46:10,1.58 req/s,1.58 req/s,0 req/s
2023-04-18 15:46:15,1.71 req/s,1.71 req/s,0 req/s
2023-04-18 15:46:20,1.76 req/s,1.76 req/s,0 req/s
2023-04-18 15:46:25,1.87 req/s,1.87 req/s,0 req/s
2023-04-18 15:46:30,2.04 req/s,2.04 req/s,0 req/s
2023-04-18 15:46:35,2.13 req/s,2.13 req/s,0 req/s
2023-04-18 15:46:40,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 15:46:45,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 15:46:50,2.05 req/s,2.05 req/s,0 req/s
2023-04-18 15:46:55,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 15:47:00,2.13 req/s,2.13 req/s,0 req/s
2023-04-18 15:47:05,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 15:47:10,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 15:47:15,2.20 req/s,2.20 req/s,0 req/s
2023-04-18 15:47:20,2.16 req/s,2.16 req/s,0 req/s
2023-04-18 15:47:25,2.09 req/s,2.09 req/s,0 req/s
2023-04-18 15:47:30,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 15:47:35,2.13 req/s,2.13 req/s,0 req/s
2023-04-18 15:47:40,2.15 req/s,2.15 req/s,0 req/s
2023-04-18 15:47:45,2.18 req/s,2.18 req/s,0 req/s
2023-04-18 15:47:50,2.11 req/s,2.11 req/s,0 req/s
2023-04-18 15:47:55,2.07 req/s,2.07 req/s,0 req/s
2023-04-18 15:48:00,1.98 req/s,1.98 req/s,0 req/s
2023-04-18 15:48:05,1.87 req/s,1.87 req/s,0 req/s
2023-04-18 15:48:10,1.82 req/s,1.82 req/s,0 req/s
2023-04-18 15:48:15,1.76 req/s,1.76 req/s,0 req/s
