"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","vetha44c48b receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","vetha44c48b transmit"
2023-04-18 15:34:20,2.13 GB/s,0 kB/s,0 kB/s,805 MB/s,0 kB/s,2.13 GB/s,805 MB/s,0 kB/s,0 kB/s,2.13 GB/s,0 kB/s,805 MB/s
2023-04-18 15:34:25,5.29 MB/s,0 kB/s,0 kB/s,3.44 MB/s,0 kB/s,5.37 MB/s,3.33 MB/s,0 kB/s,0 kB/s,7.28 MB/s,0 kB/s,3.33 MB/s
2023-04-18 15:34:30,4.45 MB/s,0 kB/s,147 kB/s,2.75 MB/s,0 kB/s,4.49 MB/s,2.64 MB/s,0 kB/s,611 kB/s,6.40 MB/s,0 kB/s,2.64 MB/s
2023-04-18 15:34:35,2.00 GB/s,0 kB/s,11.6 kB/s,1.23 GB/s,0 kB/s,2.00 GB/s,1.23 GB/s,0 kB/s,10.8 kB/s,2.00 GB/s,0 kB/s,1.23 GB/s
2023-04-18 15:34:40,1.16 MB/s,0 kB/s,11.6 kB/s,747 kB/s,0 kB/s,1.19 MB/s,645 kB/s,0 kB/s,10.8 kB/s,3.09 MB/s,0 kB/s,645 kB/s
2023-04-18 15:34:45,64.8 MB/s,0 kB/s,11.6 kB/s,59.4 MB/s,0 kB/s,67.0 MB/s,59.3 MB/s,0 kB/s,10.8 kB/s,68.9 MB/s,0 kB/s,59.3 MB/s
2023-04-18 15:34:50,3.57 MB/s,0 kB/s,78.4 kB/s,2.23 MB/s,0 kB/s,3.60 MB/s,2.12 MB/s,0 kB/s,78.4 kB/s,5.51 MB/s,0 kB/s,2.12 MB/s
2023-04-18 15:34:55,962 MB/s,0 kB/s,98 kB/s,590 MB/s,0 kB/s,963 MB/s,590 MB/s,0 kB/s,98 kB/s,965 MB/s,0 kB/s,590 MB/s
2023-04-18 15:35:00,3.15 MB/s,0 kB/s,31.2 kB/s,2.01 MB/s,0 kB/s,3.20 MB/s,1.90 MB/s,0 kB/s,30.4 kB/s,5.11 MB/s,0 kB/s,1.90 MB/s
2023-04-18 15:35:05,180 MB/s,0 kB/s,12 kB/s,203 MB/s,0 kB/s,187 MB/s,202 MB/s,0 kB/s,8.40 kB/s,189 MB/s,0 kB/s,202 MB/s
2023-04-18 15:35:10,125 MB/s,0 kB/s,34 kB/s,75.1 MB/s,0 kB/s,129 MB/s,75.0 MB/s,0 kB/s,30.8 kB/s,130 MB/s,0 kB/s,75.0 MB/s
2023-04-18 15:35:15,7.65 MB/s,0 kB/s,78.4 kB/s,4.72 MB/s,0 kB/s,7.70 MB/s,4.61 MB/s,0 kB/s,70 kB/s,9.60 MB/s,0 kB/s,4.61 MB/s
2023-04-18 15:35:20,1.28 GB/s,0 kB/s,0 kB/s,1.22 GB/s,0 kB/s,1.28 GB/s,1.22 GB/s,0 kB/s,0 kB/s,1.28 GB/s,0 kB/s,1.22 GB/s
2023-04-18 15:35:25,800 MB/s,0 kB/s,11.6 kB/s,87.6 MB/s,0 kB/s,803 MB/s,87.5 MB/s,0 kB/s,10.8 kB/s,805 MB/s,0 kB/s,87.5 MB/s
2023-04-18 15:35:30,872 MB/s,0 kB/s,11.2 kB/s,534 MB/s,0 kB/s,873 MB/s,534 MB/s,0 kB/s,10.8 kB/s,875 MB/s,0 kB/s,534 MB/s
2023-04-18 15:35:35,5.06 MB/s,0 kB/s,22.4 kB/s,3.18 MB/s,0 kB/s,5.09 MB/s,3.07 MB/s,0 kB/s,10.8 kB/s,7.00 MB/s,0 kB/s,3.07 MB/s
