"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-18 15:29:40,0%,0%,0%,8.40%,2.60%,7.00%,16.4%
2023-04-18 15:29:45,0%,0%,0%,7.20%,3.80%,5.60%,7.40%
2023-04-18 15:29:50,0%,0%,0%,7.00%,2.80%,5.40%,10.2%
2023-04-18 15:29:55,0%,0%,0%,8.00%,3.20%,8.00%,22.0%
2023-04-18 15:30:00,0%,0%,0%,5.80%,2.20%,6.60%,19.6%
2023-04-18 15:30:05,0%,0%,0%,7.40%,8.20%,6.60%,8.00%
2023-04-18 15:30:10,0%,0%,0%,7.60%,6.00%,6.40%,7.80%
2023-04-18 15:30:15,0%,0%,0%,4.20%,3.00%,4.00%,10.8%
2023-04-18 15:30:20,0%,0%,0%,6.60%,2.20%,6.80%,15.2%
2023-04-18 15:30:25,0%,0%,0%,4.80%,3.00%,5.60%,10%
2023-04-18 15:30:30,0%,0%,0%,6.80%,2.80%,6.20%,9.80%
2023-04-18 15:30:35,0%,0%,0%,5.40%,2.60%,4.80%,5%
2023-04-18 15:30:40,0%,0%,0%,4.80%,2.00%,5.20%,28.2%
2023-04-18 15:30:45,0%,0%,0%,7.20%,2.40%,5.40%,17.4%
2023-04-18 15:30:50,0%,0%,0%,6.60%,2.60%,5.20%,8.20%
2023-04-18 15:30:55,0%,0%,0%,6.40%,5.20%,4.80%,7.20%
2023-04-18 15:31:00,0%,0%,0%,6.00%,5.40%,5%,12.0%
2023-04-18 15:31:05,0%,0%,0%,8.20%,9.00%,5.80%,17.6%
2023-04-18 15:31:10,0%,0%,0%,5.40%,4.20%,5.80%,6.00%
2023-04-18 15:31:15,0%,0%,0%,6.80%,3.80%,6.00%,6.80%
2023-04-18 15:31:20,0%,0%,0%,6.20%,3.80%,5.20%,6.00%
2023-04-18 15:31:25,0%,0%,0%,6.60%,4.60%,8.00%,9.60%
2023-04-18 15:31:30,0%,0%,0%,6.00%,2.20%,5%,7.00%
2023-04-18 15:31:35,0%,0%,0%,4.20%,2.40%,4.60%,13.2%
2023-04-18 15:31:40,0%,0%,0%,6.80%,3.60%,5.60%,24.4%
2023-04-18 15:31:45,0%,0%,0%,6.60%,2.40%,5.60%,6.40%
2023-04-18 15:31:50,0%,0%,0%,5.20%,1.40%,5.40%,16.6%
2023-04-18 15:31:55,0%,0%,0%,4.40%,1.60%,6.00%,24.2%
2023-04-18 15:32:00,0%,0%,0%,6.20%,2.20%,6.40%,21.0%
2023-04-18 15:32:05,0%,0%,0%,6.20%,3.40%,4.40%,12.8%
2023-04-18 15:32:10,0%,0%,0%,6.20%,2.40%,5.80%,8.00%
2023-04-18 15:32:15,0%,0%,0%,6.40%,3.20%,5.40%,12.6%
2023-04-18 15:32:20,0%,0%,0%,5.80%,2.40%,5.80%,10%
2023-04-18 15:32:25,0%,0%,0%,8.00%,4.00%,8.00%,10.4%
2023-04-18 15:32:30,0%,0%,0%,7.20%,4.20%,5.60%,12.8%
2023-04-18 15:32:35,0%,0%,0%,6.80%,2.80%,5.80%,9.80%
2023-04-18 15:32:40,0%,0%,0%,5.80%,2.20%,4.20%,6.80%
2023-04-18 15:32:45,0%,0%,0%,7.20%,2.40%,7.00%,10.8%
2023-04-18 15:32:50,0%,0%,0%,4.40%,2.60%,4.00%,4.80%
2023-04-18 15:32:55,0%,0%,0%,7.60%,4.20%,5.60%,15.2%
2023-04-18 15:33:00,0%,0%,0%,6.20%,3.80%,6.60%,12.6%
2023-04-18 15:33:05,0%,0%,0%,5.80%,4.00%,5.60%,12.8%
2023-04-18 15:33:10,0%,0%,0%,5.20%,2.40%,7.00%,12.0%
2023-04-18 15:33:15,0%,0%,0%,5.80%,4.80%,5.20%,12.6%
2023-04-18 15:33:20,0%,0%,0%,6.60%,3.80%,6.60%,12.2%
2023-04-18 15:33:25,0%,0%,0%,7.80%,2.80%,6.20%,15%
2023-04-18 15:33:30,0%,0%,0%,3.00%,2.20%,4.40%,3.80%
2023-04-18 15:33:35,0%,0%,0%,0%,0.400%,0.600%,2.80%
2023-04-18 15:33:40,0%,0%,0%,0.400%,0.200%,0.400%,3.20%
2023-04-18 15:33:45,0%,0%,0%,0.200%,0%,0.400%,3.00%
2023-04-18 15:33:50,0%,0%,0%,0.200%,0.200%,0.400%,3.20%
2023-04-18 15:33:55,0%,0%,0%,1.20%,0.800%,1.20%,1.60%
2023-04-18 15:34:00,0%,0%,0%,0.400%,0.200%,0.600%,6.40%
2023-04-18 15:34:05,0%,0%,0%,0%,0.600%,0.200%,0.400%
2023-04-18 15:34:10,0%,0%,0%,0%,0.400%,0.200%,0.400%
2023-04-18 15:34:15,0%,0%,0%,0.200%,0%,0%,1.40%
2023-04-18 15:34:20,0%,0%,0%,0.400%,0.200%,0.400%,4.80%
2023-04-18 15:34:25,0%,0%,0%,0%,0%,0.200%,0.400%
2023-04-18 15:34:30,0%,0%,0%,0%,0.400%,0.400%,0.400%
2023-04-18 15:34:35,0%,0%,0%,0.200%,0%,0.400%,6.20%
2023-04-18 15:34:40,0%,0%,0%,0%,0%,0%,0.200%
2023-04-18 15:34:45,0%,0%,0%,0.600%,0.400%,0.800%,1.60%
2023-04-18 15:34:50,0%,0%,0%,0%,0.200%,0.200%,0.800%
2023-04-18 15:34:55,0%,0%,0%,0.400%,0.200%,0.200%,2.80%
2023-04-18 15:35:00,0%,0%,0%,0%,0%,0.200%,0.400%
2023-04-18 15:35:05,0%,0%,0%,2.80%,3.40%,3.00%,4.20%
2023-04-18 15:35:10,0%,0%,0%,1.40%,1.00%,2.20%,2.40%
2023-04-18 15:35:15,0%,0%,0%,0%,0.200%,0.200%,0.200%
2023-04-18 15:35:20,0%,0%,0%,0.800%,0%,1.00%,5.80%
2023-04-18 15:35:25,0%,0%,0%,1.000%,1.80%,1.80%,1.80%
2023-04-18 15:35:30,0%,0%,0%,0.200%,0.400%,0.200%,2.60%
2023-04-18 15:35:35,0%,0%,0%,0%,0%,0.200%,0.200%
2023-04-18 15:35:40,0%,0%,0%,0%,0%,0%,0.400%
2023-04-18 15:35:45,0%,0%,0%,0%,0.200%,0.200%,0.400%
2023-04-18 15:35:50,0%,0%,0%,1.60%,1.40%,1.60%,3.20%
2023-04-18 15:35:55,0%,0%,0%,1.20%,1.40%,2.00%,2.60%
2023-04-18 15:36:00,0%,0%,0%,1.20%,0.400%,1.20%,4.60%
2023-04-18 15:36:05,0%,0%,0%,0%,0.200%,0.600%,2.80%
2023-04-18 15:36:10,0%,0%,0%,2.60%,2.40%,2.60%,6.20%
2023-04-18 15:36:15,0%,0%,0%,0%,0.200%,0.200%,0.600%
2023-04-18 15:36:20,0%,0%,0%,0.200%,0%,0%,3.40%
2023-04-18 15:36:25,0%,0%,0%,0.200%,0.200%,0.600%,6.00%
2023-04-18 15:36:30,0%,0%,0%,0%,0.200%,0.400%,0.400%
2023-04-18 15:36:35,0%,0%,0%,1.60%,1.20%,1.80%,2.00%
2023-04-18 15:36:40,0%,0%,0%,2.40%,2.20%,4.20%,4.20%
2023-04-18 15:36:45,0%,0%,0%,0%,0%,0%,0.200%
2023-04-18 15:36:50,0%,0%,0%,1.40%,0.800%,2.00%,2.00%
2023-04-18 15:36:55,0%,0%,0%,1.20%,1.40%,1.20%,1.40%
2023-04-18 15:37:00,0%,0%,0%,0.400%,0.600%,1.20%,1.000%
2023-04-18 15:37:05,0%,0%,0%,1.20%,1.20%,1.60%,4.40%
2023-04-18 15:37:10,0%,0%,0%,0%,0.200%,0.400%,2.60%
2023-04-18 15:37:15,0%,0%,0%,0.200%,0.200%,0.200%,3.40%
2023-04-18 15:37:20,0%,0%,0%,2.60%,1.40%,3.20%,14.6%
2023-04-18 15:37:25,0%,0%,0%,3.80%,3.40%,3.20%,14.4%
2023-04-18 15:37:30,0%,0%,0%,2.40%,1.80%,2.40%,3.20%
2023-04-18 15:37:35,0%,0%,0%,4.60%,1.60%,3.20%,9.00%
2023-04-18 15:37:40,0%,0%,0%,7.20%,1.60%,7.40%,13.2%
2023-04-18 15:37:45,0%,0%,0%,7.40%,1.40%,8.20%,12.4%
2023-04-18 15:37:50,0%,0%,0%,6.40%,0.800%,6.40%,9.60%
2023-04-18 15:37:55,0%,0%,0%,5.80%,2.20%,5.40%,8.80%
2023-04-18 15:38:00,0%,0%,0%,3.40%,1.20%,3.00%,4.40%
2023-04-18 15:38:05,0%,0%,0%,1.80%,2.40%,2.00%,3.20%
2023-04-18 15:38:10,0%,0%,0%,3.20%,1.40%,3.00%,7.60%
2023-04-18 15:38:15,0%,0%,0%,4.20%,2.00%,4.60%,3.80%
2023-04-18 15:38:20,0%,0%,0%,3.00%,1.20%,4.60%,7.00%
2023-04-18 15:38:25,0%,0%,0%,3.20%,2.00%,3.40%,3.00%
2023-04-18 15:38:30,0%,0%,0%,4.60%,2.60%,4.40%,6.00%
