"Time","avg-res-time"
2023-04-18 14:29:10,603 ms
2023-04-18 14:29:15,652 ms
2023-04-18 14:29:20,638 ms
2023-04-18 14:29:25,706 ms
2023-04-18 14:29:30,702 ms
2023-04-18 14:29:35,759 ms
2023-04-18 14:29:40,715 ms
2023-04-18 14:29:45,747 ms
2023-04-18 14:29:50,746 ms
2023-04-18 14:29:55,687 ms
2023-04-18 14:30:00,746 ms
2023-04-18 14:30:05,756 ms
2023-04-18 14:30:10,666 ms
2023-04-18 14:30:15,694 ms
2023-04-18 14:30:20,635 ms
2023-04-18 14:30:25,608 ms
2023-04-18 14:30:30,642 ms
2023-04-18 14:30:35,714 ms
2023-04-18 14:30:40,764 ms
2023-04-18 14:30:45,747 ms
2023-04-18 14:30:50,788 ms
2023-04-18 14:30:55,720 ms
2023-04-18 14:31:00,717 ms
2023-04-18 14:31:05,706 ms
2023-04-18 14:31:10,696 ms
2023-04-18 14:31:15,668 ms
2023-04-18 14:31:20,633 ms
2023-04-18 14:31:25,586 ms
2023-04-18 14:31:30,789 ms
2023-04-18 14:31:35,1.13 s
2023-04-18 14:31:40,1.93 s
2023-04-18 14:31:45,2.30 s
2023-04-18 14:31:50,2.66 s
2023-04-18 14:31:55,2.84 s
2023-04-18 14:32:00,3.07 s
2023-04-18 14:32:05,3.25 s
2023-04-18 14:32:10,3.35 s
2023-04-18 14:32:15,3.38 s
2023-04-18 14:32:20,3.49 s
2023-04-18 14:32:25,3.63 s
2023-04-18 14:32:30,3.58 s
2023-04-18 14:32:35,3.59 s
2023-04-18 14:32:40,3.59 s
2023-04-18 14:32:45,3.56 s
2023-04-18 14:32:50,3.63 s
2023-04-18 14:32:55,3.62 s
2023-04-18 14:33:00,3.62 s
2023-04-18 14:33:05,3.60 s
2023-04-18 14:33:10,3.64 s
2023-04-18 14:33:15,3.64 s
2023-04-18 14:33:20,3.63 s
2023-04-18 14:33:25,3.68 s
2023-04-18 14:33:30,3.61 s
2023-04-18 14:33:35,3.63 s
2023-04-18 14:33:40,3.59 s
2023-04-18 14:33:45,3.56 s
2023-04-18 14:33:50,3.48 s
2023-04-18 14:33:55,3.55 s
