"Time","Timestamp [ms]","iowait [Ratios]","irq [Ratios]","nice [Ratios]","softirq [Ratios]","steal [Ratios]","system [Ratios]","user [Ratios]","Used [MiB]","Buffer [MiB]","Cached [MiB]","Free [MiB]","br-10cd1f6f3899 receive [MB/s]","docker0 receive [MB/s]","eth0 receive [MB/s]","eth1 receive [MB/s]","lo receive [MB/s]","veth6750e95 receive [MB/s]","br-10cd1f6f3899 transmit [MB/s]","docker0 transmit [MB/s]","eth0 transmit [MB/s]","eth1 transmit [MB/s]","lo transmit [MB/s]","veth6750e95 transmit [MB/s]","total-req-rate [req/s]","ok-req-rate [req/s]","error-req-rate [req/s]","avg-res-time [ms]","ServerStatus"
"2023-04-18 14:06:20","1681801580000","0","0","0","0.034","0.018000000000000002","0.05","0.11199999999999999","327","27.3","502","113","2470","0","0.019600000000000003","1570","0","2480","1570","0","0.019600000000000003","2480","0","1570","1.44","1.44","0","609","0"
"2023-04-18 14:06:25","1681801585000","0","0","0","0.016","0.018000000000000002","0.022000000000000002","0.062","327","27.3","502","113","1870","0","0","1220","0","1870","1220","0","0","1870","0","1220","1.45","1.45","0","658","0"
"2023-04-18 14:06:30","1681801590000","0","0","0","0.038","0.032","0.048","0.11","327","27.3","502","113","2370","0","0.125","1500","0","2380","1500","0","0.587","2380","0","1500","1.45","1.45","0","674","0"
"2023-04-18 14:06:35","1681801595000","0","0","0","0.02","0.01","0.027999999999999997","0.064","327","27.3","502","113","2070","0","0","1300","0","2080","1300","0","0","2080","0","1300","1.45","1.45","0","697","0"
"2023-04-18 14:06:40","1681801600000","0","0","0","0.016","0.006","0.013999999999999999","0.086","327","27.3","502","113","3050","0","0","1920","0","3050","1920","0","0","3060","0","1920","1.44","1.44","0","690","0"
"2023-04-18 14:06:45","1681801605000","0","0","0","0.026000000000000002","0.008","0.024","0.162","327","27.3","502","113","4760","0","0.0112","3470","0","4770","3470","0","0.0108","4770","0","3470","1.45","1.45","0","707","0"
"2023-04-18 14:06:50","1681801610000","0","0","0","0.052000000000000005","0.027999999999999997","0.068","0.076","327","27.3","502","113","1310","0","0","1060","0","1320","1060","0","0","1320","0","1060","1.44","1.44","0","699","0"
"2023-04-18 14:06:55","1681801615000","0","0","0","0.016","0.013999999999999999","0.018000000000000002","0.084","327","27.3","502","113","3090","0","0.0112","1230","0","3090","1230","0","0.0108","3090","0","1230","1.45","1.45","0","768","0"
"2023-04-18 14:07:00","1681801620000","0","0","0","0.02","0.02","0.02","0.052000000000000005","327","27.3","502","113","1200","0","0","751","0","1200","751","0","0","1200","0","751","1.49","1.49","0","723","0"
"2023-04-18 14:07:05","1681801625000","0","0","0","0.018000000000000002","0.022000000000000002","0.027999999999999997","0.057999999999999996","327","27.3","502","113","1120","0","0.034","731","0","1120","731","0","0.0216","1130","0","731","1.45","1.45","0","642","0"
"2023-04-18 14:07:10","1681801630000","0","0","0","0.004","0.002","0.004","0.027999999999999997","327","27.3","502","113","986","0","0.053200000000000004","603","0","987","603","0","0.049600000000000005","989","0","603","1.44","1.44","0","685","0"
"2023-04-18 14:07:15","1681801635000","0","0","0","0.01","0.008","0.002","0.054000000000000006","327","27.3","502","113","2140","0","0.0448","1300","0","2140","1300","0","0.040799999999999996","2140","0","1300","1.4","1.4","0","661","0"
"2023-04-18 14:07:20","1681801640000","0","0","0","0.004","0.006","0.008","0.046","327","27.3","502","113","1040","0","0.012","647","0","1040","646","0","0.008400000000000001","1040","0","646","1.31","1.31","0","626","0"
"2023-04-18 14:07:25","1681801645000","0","0","0","0","0.002","0.002","0.03","327","27.3","502","113","857","0","0","525","0","857","524","0","0","859","0","524","1.24","1.24","0","592","0"
"2023-04-18 14:07:30","1681801650000","0","0","0","0","0","0.002","0.004","327","27.3","502","113","3.81","0","0","2.37","0","3.83","2.26","0","0","5.74","0","2.26","1.16","1.16","0","543","0"
