"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit","total-req-rate","ok-req-rate","error-req-rate","latency-50-percentile","latency-95-percentile","latency-99-percentile","avg-res-time","TimeToFail"
"2023-04-18 15:48:15","1681807695000","0%","0%","0%","1.60%","0.600%","1.40%","6.80%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","2.10 GB/s","0 kB/s","67.2 kB/s","1.36 GB/s","0 kB/s","2.10 GB/s","1.36 GB/s","0 kB/s","60 kB/s","2.10 GB/s","0 kB/s","1.36 GB/s","1.76 req/s","1.76 req/s","0 req/s","474 ms","3.99 s","4.80 s","839 ms","1188979"
"2023-04-18 15:48:20","1681807700000","0%","0%","0%","4.40%","1.80%","3.60%","7.00%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","1.22 GB/s","0 kB/s","0 kB/s","786 MB/s","0 kB/s","1.24 GB/s","786 MB/s","0 kB/s","0 kB/s","1.24 GB/s","0 kB/s","786 MB/s","1.71 req/s","1.71 req/s","0 req/s","488 ms","4.02 s","4.80 s","842 ms","1183979"
"2023-04-18 15:48:25","1681807705000","0%","0%","0%","2.80%","2.40%","4.00%","7.40%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","1.19 GB/s","0 kB/s","11.6 kB/s","818 MB/s","0 kB/s","1.20 GB/s","818 MB/s","0 kB/s","10.8 kB/s","1.20 GB/s","0 kB/s","818 MB/s","1.67 req/s","1.67 req/s","0 req/s","458 ms","4.04 s","4.81 s","845 ms","1178979"
"2023-04-18 15:48:30","1681807710000","0%","0%","0%","3.20%","1.80%","5.20%","10.4%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","2.30 GB/s","0 kB/s","113 kB/s","1.47 GB/s","0 kB/s","2.31 GB/s","1.47 GB/s","0 kB/s","576 kB/s","2.32 GB/s","0 kB/s","1.47 GB/s","1.58 req/s","1.58 req/s","0 req/s","434 ms","3.79 s","4.76 s","825 ms","1173979"
"2023-04-18 15:48:35","1681807715000","0%","0%","0%","2.00%","1.00%","2.20%","9.80%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","3.03 GB/s","0 kB/s","0 kB/s","1.92 GB/s","0 kB/s","3.04 GB/s","1.92 GB/s","0 kB/s","0 kB/s","3.04 GB/s","0 kB/s","1.92 GB/s","1.51 req/s","1.51 req/s","0 req/s","382 ms","3.70 s","4.74 s","771 ms","1168979"
"2023-04-18 15:48:40","1681807720000","0%","0%","0%","1.80%","0.600%","1.80%","12.4%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","4.17 GB/s","0 kB/s","34 kB/s","2.56 GB/s","0 kB/s","4.18 GB/s","2.56 GB/s","0 kB/s","21.6 kB/s","4.18 GB/s","0 kB/s","2.56 GB/s","1.44 req/s","1.44 req/s","0 req/s","442 ms","3.77 s","4.75 s","809 ms","1163979"
"2023-04-18 15:48:45","1681807725000","0%","0%","0%","0.400%","0.400%","0.600%","2.80%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","922 MB/s","0 kB/s","22.4 kB/s","593 MB/s","0 kB/s","923 MB/s","592 MB/s","0 kB/s","10.8 kB/s","925 MB/s","0 kB/s","592 MB/s","1.44 req/s","1.44 req/s","0 req/s","375 ms","3.02 s","4.61 s","705 ms","1158979"
"2023-04-18 15:48:50","1681807730000","0%","0%","0%","4.60%","3.60%","3.80%","10.2%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","2.23 GB/s","0 kB/s","0 kB/s","1.57 GB/s","0 kB/s","2.24 GB/s","1.57 GB/s","0 kB/s","0 kB/s","2.24 GB/s","0 kB/s","1.57 GB/s","1.40 req/s","1.40 req/s","0 req/s","368 ms","3.07 s","4.61 s","691 ms","1153979"
"2023-04-18 15:48:55","1681807735000","0%","0%","0%","3.60%","2.40%","4.20%","5.40%","335 MiB","27.8 MiB","511 MiB","95.7 MiB","1.39 GB/s","0 kB/s","11.6 kB/s","845 MB/s","0 kB/s","1.40 GB/s","845 MB/s","0 kB/s","10.8 kB/s","1.40 GB/s","0 kB/s","845 MB/s","1.42 req/s","1.42 req/s","0 req/s","382 ms","3.37 s","4.67 s","729 ms","1148979"
"2023-04-18 15:49:00","1681807740000","0%","0%","0%","1.80%","1.60%","2.80%","10%","331 MiB","27.8 MiB","511 MiB","99.9 MiB","2.89 GB/s","0 kB/s","0 kB/s","1.77 GB/s","0 kB/s","2.89 GB/s","1.77 GB/s","0 kB/s","0 kB/s","2.90 GB/s","0 kB/s","1.77 GB/s","1.45 req/s","1.45 req/s","0 req/s","397 ms","3.57 s","4.71 s","776 ms","1143979"
"2023-04-18 15:49:05","1681807745000","0%","0%","0%","0.600%","0.800%","0.600%","11.2%","339 MiB","27.8 MiB","511 MiB","91.9 MiB","4.04 GB/s","0 kB/s","19.6 kB/s","2.49 GB/s","0 kB/s","4.04 GB/s","2.49 GB/s","0 kB/s","19.6 kB/s","4.04 GB/s","0 kB/s","2.49 GB/s","1.44 req/s","1.44 req/s","0 req/s","381 ms","3.02 s","4.61 s","730 ms","1138979"
"2023-04-18 15:49:10","1681807750000","0%","0%","0%","2.40%","1.60%","3.00%","8.40%","339 MiB","27.8 MiB","511 MiB","91.9 MiB","2.11 GB/s","0 kB/s","12 kB/s","1.33 GB/s","0 kB/s","2.12 GB/s","1.33 GB/s","0 kB/s","8.40 kB/s","2.12 GB/s","0 kB/s","1.33 GB/s","1.42 req/s","1.42 req/s","0 req/s","388 ms","3.05 s","4.61 s","727 ms","1133979"
"2023-04-18 15:49:15","1681807755000","0%","0%","0%","3.00%","3.40%","2.60%","7.40%","339 MiB","27.8 MiB","511 MiB","91.9 MiB","1.95 GB/s","0 kB/s","33.6 kB/s","1.21 GB/s","0 kB/s","1.96 GB/s","1.21 GB/s","0 kB/s","30 kB/s","1.96 GB/s","0 kB/s","1.21 GB/s","1.45 req/s","1.45 req/s","0 req/s","393 ms","3.00 s","4.60 s","737 ms","1128979"
"2023-04-18 15:49:20","1681807760000","0%","0%","0%","2.00%","2.40%","3.00%","8.20%","339 MiB","27.8 MiB","511 MiB","91.9 MiB","2.21 GB/s","0 kB/s","0 kB/s","1.41 GB/s","0 kB/s","2.22 GB/s","1.41 GB/s","0 kB/s","0 kB/s","2.22 GB/s","0 kB/s","1.41 GB/s","1.42 req/s","1.42 req/s","0 req/s","386 ms","2.56 s","4.51 s","685 ms","1123979"
