"Time","Used","Buffer","Cached","Free"
2023-04-18 15:27:15,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:20,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:25,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:30,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:35,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:40,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:45,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:50,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:27:55,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:28:00,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:28:05,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:28:10,341 MiB,27.8 MiB,511 MiB,89.7 MiB
2023-04-18 15:28:15,330 MiB,27.8 MiB,511 MiB,101 MiB
2023-04-18 15:28:20,332 MiB,27.8 MiB,511 MiB,99.0 MiB
2023-04-18 15:28:25,332 MiB,27.8 MiB,511 MiB,99.0 MiB
2023-04-18 15:28:30,332 MiB,27.8 MiB,511 MiB,99.0 MiB
2023-04-18 15:28:35,332 MiB,27.8 MiB,511 MiB,99.0 MiB
2023-04-18 15:28:40,323 MiB,27.8 MiB,511 MiB,108 MiB
2023-04-18 15:28:45,323 MiB,27.8 MiB,511 MiB,108 MiB
2023-04-18 15:28:50,353 MiB,27.8 MiB,511 MiB,77.8 MiB
2023-04-18 15:28:55,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:29:00,339 MiB,27.8 MiB,511 MiB,92.3 MiB
2023-04-18 15:29:05,332 MiB,27.8 MiB,511 MiB,98.9 MiB
2023-04-18 15:29:10,328 MiB,27.8 MiB,511 MiB,103 MiB
2023-04-18 15:29:15,336 MiB,27.8 MiB,511 MiB,95.3 MiB
2023-04-18 15:29:20,337 MiB,27.8 MiB,511 MiB,93.9 MiB
2023-04-18 15:29:25,326 MiB,27.8 MiB,511 MiB,105 MiB
2023-04-18 15:29:30,328 MiB,27.8 MiB,511 MiB,103 MiB
2023-04-18 15:29:35,328 MiB,27.8 MiB,511 MiB,103 MiB
2023-04-18 15:29:40,342 MiB,27.8 MiB,511 MiB,89.1 MiB
2023-04-18 15:29:45,342 MiB,27.8 MiB,511 MiB,89.1 MiB
2023-04-18 15:29:50,342 MiB,27.8 MiB,511 MiB,89.1 MiB
2023-04-18 15:29:55,343 MiB,27.8 MiB,511 MiB,88.2 MiB
2023-04-18 15:30:00,333 MiB,27.8 MiB,511 MiB,98.3 MiB
2023-04-18 15:30:05,333 MiB,27.8 MiB,511 MiB,98.3 MiB
2023-04-18 15:30:10,333 MiB,27.8 MiB,511 MiB,98.3 MiB
2023-04-18 15:30:15,333 MiB,27.8 MiB,511 MiB,98.3 MiB
2023-04-18 15:30:20,324 MiB,27.8 MiB,511 MiB,107 MiB
2023-04-18 15:30:25,322 MiB,27.8 MiB,511 MiB,109 MiB
2023-04-18 15:30:30,330 MiB,27.8 MiB,511 MiB,101 MiB
2023-04-18 15:30:35,330 MiB,27.8 MiB,511 MiB,101 MiB
2023-04-18 15:30:40,338 MiB,27.8 MiB,511 MiB,93.1 MiB
2023-04-18 15:30:45,340 MiB,27.8 MiB,511 MiB,91.3 MiB
2023-04-18 15:30:50,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:30:55,335 MiB,27.8 MiB,511 MiB,95.7 MiB
2023-04-18 15:31:00,330 MiB,27.8 MiB,511 MiB,101 MiB
2023-04-18 15:31:05,348 MiB,27.8 MiB,511 MiB,83.0 MiB
2023-04-18 15:31:10,335 MiB,27.8 MiB,511 MiB,96.3 MiB
2023-04-18 15:31:15,333 MiB,27.8 MiB,511 MiB,98.5 MiB
2023-04-18 15:31:20,333 MiB,27.8 MiB,511 MiB,98.5 MiB
2023-04-18 15:31:25,333 MiB,27.8 MiB,511 MiB,98.5 MiB
2023-04-18 15:31:30,323 MiB,27.8 MiB,511 MiB,108 MiB
2023-04-18 15:31:35,327 MiB,27.8 MiB,511 MiB,104 MiB
2023-04-18 15:31:40,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:31:45,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:31:50,337 MiB,27.8 MiB,511 MiB,94.1 MiB
2023-04-18 15:31:55,344 MiB,27.8 MiB,511 MiB,87.5 MiB
2023-04-18 15:32:00,344 MiB,27.8 MiB,511 MiB,87.3 MiB
2023-04-18 15:32:05,338 MiB,27.8 MiB,511 MiB,92.7 MiB
2023-04-18 15:32:10,338 MiB,27.8 MiB,511 MiB,92.9 MiB
2023-04-18 15:32:15,338 MiB,27.8 MiB,511 MiB,92.9 MiB
2023-04-18 15:32:20,323 MiB,27.8 MiB,511 MiB,108 MiB
2023-04-18 15:32:25,322 MiB,27.8 MiB,511 MiB,109 MiB
2023-04-18 15:32:30,329 MiB,27.8 MiB,511 MiB,102 MiB
2023-04-18 15:32:35,329 MiB,27.8 MiB,511 MiB,102 MiB
2023-04-18 15:32:40,329 MiB,27.8 MiB,511 MiB,102 MiB
2023-04-18 15:32:45,329 MiB,27.8 MiB,511 MiB,102 MiB
2023-04-18 15:32:50,329 MiB,27.8 MiB,511 MiB,102 MiB
2023-04-18 15:32:55,330 MiB,27.8 MiB,511 MiB,101 MiB
2023-04-18 15:33:00,327 MiB,27.8 MiB,511 MiB,104 MiB
2023-04-18 15:33:05,325 MiB,27.8 MiB,511 MiB,106 MiB
2023-04-18 15:33:10,326 MiB,27.8 MiB,511 MiB,105 MiB
2023-04-18 15:33:15,326 MiB,27.8 MiB,511 MiB,105 MiB
2023-04-18 15:33:20,326 MiB,27.8 MiB,511 MiB,105 MiB
